TVpro230218,#genre#
靖天歡樂台,http://www.336699.live:1935/blockfour/4gtv-4gtv054.stream/playlist.m3u8
靖天映畫台,http://www.336699.live:1935/blockfour/4gtv-4gtv055.stream/playlist.m3u8
靖天戲劇台,http://www.336699.live:1935/blockfour/4gtv-4gtv058.stream/playlist.m3u8
靖天娛樂台,http://www.336699.live:1935/blockfour/4gtv-4gtv062.stream/playlist.m3u8
靖天國際台,http://www.336699.live:1935/blockfour/4gtv-4gtv063.stream/playlist.m3u8
中視精彩台,http://www.336699.live:1935/blockfour/4gtv-4gtv064.stream/playlist.m3u8
ELTA歡樂台,http://www.336699.live:1935/blockfour/4gtv-4gtv070.stream/playlist.m3u8
龍華日韓,http://www.336699.live:1935/blockfour/litv-longturn11.stream/playlist.m3u8
原住民族電視台,http://streamipcf.akamaized.net/live/_definst_/live_720/chunklist_b1500.m3u8#http://streamipcf.akamaized.net/live/_definst_/live_720/key_b1500.m3u8#http://streamipcf.akamaized.net/live/_definst_/smil:live.smil/chunklist_b3000.m3u8?cuac=guest&cref=http%3A%2F%2Ftitv.ipcf.org.tw%2F#http://streamipcf.akamaized.net/live/_definst_/smil:liveabr.smil/playlist.m3u8#https://streamipcf.akamaized.net/live/_definst_/smil:live.smil/chunklist_b3000.m3u8?cuac=guest&cref=https%3A%2F%2Fwww.ipcf.org.tw%2F#http://streamipcf.akamaized.net/live/_definst_/live_720/key_b1500.m3u8#http://streamipcf.akamaized.net/live/_definst_/smil:live.smil/chunklist_b3000.m3u8?cuac=guest&cref=http%3A%2F%2Ftitv.ipcf.org.tw%2F#http://streamipcf.akamaized.net/live/_definst_/smil:liveabr.smil/playlist.m3u8#https://streamipcf.akamaized.net/live/_definst_/smil:live.smil/chunklist_b3000.m3u8?cuac=guest&cref=https%3A%2F%2Fwww.ipcf.org.tw%2F

我們這一家(卡通),http://cn-jsnt-ct-01-04.bilivideo.com/live-bvc/x988473/live_384415126_7322574/index.m3u8
TRACE URBAN,http://www.336699.live:1935/blockfour/4gtv-4gtv082.stream/playlist.m3u8
MEZZO古典音樂,http://www.336699.live:1935/blockfour/4gtv-4gtv083.stream/playlist.m3u8
智林體育台,http://61.218.32.163:1935/blockfour/4gtv-4gtv101.stream/playlist.m3u8
SPORTS STARS,http://www.336699.live:1935/blockfour/4gtv-4gtv077.stream/playlist.m3u8
KOREA,http://www.336699.live:1935/blockfour/4gtv-4gtv079.stream/playlist.m3u8
博斯高球1,http://www.336699.live:1935/blockfour/litv-longturn05.stream/playlist.m3u8
博斯運動1,http://www.336699.live:1935/blockfour/litv-longturn07.stream/playlist.m3u8
博斯網球,http://www.336699.live:1935/blockfour/litv-longturn09.stream/playlist.m3u8
博斯無限,http://www.336699.live:1935/blockfour/litv-longturn10.stream/playlist.m3u8
新馬亞洲新聞,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_3.m3u8
東森電影,http://120.84.96.89:808/hls/32/index.m3u8
東森超視,http://198.16.64.10:8278/ettvsuper/playlist.m3u8?tid=MA4A3005409230054092&ct=19225&tsum=c5d89f66fa1a8bcd26f482d4a370def5
東森幼幼,http://198.16.64.10:8278/yoyo_twn/playlist.m3u8?tid=MEBE7340063173400631&ct=19225&tsum=e95304aa3743de8d4f23a23642d4d8a5
金馬影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
The K-POP,https://ytm2.yuanhsing.cf/TheKPOP.m3u8#https://ytm2.yuanhsing.cf/TheKPOP.m3u8
The K-POP2,https://ytm2.yuanhsing.cf/TheKPOP2.m3u8
Sexy K-Pop,https://srv1.zcast.com.br/kpoptv/kpoptv/.m3u8#https://srv1.zcast.com.br/kpoptv/kpoptv/playlist.m3u8
時尚台FTV,http://80.94.54.42/fashiontv/stream/playlist.m3u8
時尚台FTV4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8#http://123.51.229.65:18561/.m3u8#http://218.32.47.179:8506/http/192.168.1.9:8081/hls/69/811/ch36.m3u8#http://218.32.47.179:8506/http/192.168.1.9:8081/hls/69/811/ch36.m3u8http://120.84.96.195:808/hls/32/index.m3u8#http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u#http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8#https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8#http://123.51.229.65:18561/.m3u8#http://218.32.47.179:8506/http/192.168.1.9:8081/hls/69/811/ch36.m3u8#http://218.32.47.179:8506/http/192.168.1.9:8081/hls/69/811/ch36.m3u8http://120.84.96.195:808/hls/32/index.m3u8#http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u#http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8#https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
大立電視,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
大愛1台,http://218.32.47.179:8507/http/192.168.1.9:8081/hls/73/815/ch52.m3u8#https://pulltv1.wanfudaluye.com/live/tv1.m3u8#https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛2台,https://pulltv1.wanfudaluye.com/live/tv2.m3u8#https://pulltv2.wanfudaluye.com/live/tv2.m3u8#https://pulltv2.wanfudaluye.com/live/tv2.m3u8
中台灣生活網,http://58.99.33.16:1935/liveedge17/live_020_3.stream/chunklist.m3u8#http://58.99.33.16:1935/liveedge17/live_852_3.stream/chunklist.m3u8#http://58.99.33.16:1935/liveedge17/live_852_3.stream/chunklist.m3u8
南投新聞網,http://58.99.33.16:1935/liveedge17/live_853_3.stream/chunklist.m3u8
美麗人生,http://58.99.33.16:1935/liveedge17/live_070_3.stream/chunklist.m3u8
香港佛陀,http://js1.amtb.cn/liveedge/_definst_/livetv/chunklist.m3u8#https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8#https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
海豚綜合台,http://58.99.33.16:1935/liveedge17/live_077_3.stream/chunklist.m3u8
唯心電視,http://124.238.99.44:808/hls/363/index.m3u8#http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/playlist.m3u8#http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8#http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/playlist.m3u8#http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
雲林新聞網,http://58.99.33.16:1935/liveedge17/live_854_3.stream/chunklist.m3u8
蕃薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8#http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8#http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8#http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8#http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
東森洋片 HD,http://107.151.203.111:2209/135/hk.php?id=dsypt#http://107.151.203.111:2209/135/hk.php?id=dsypt
龍祥時代,http://107.151.203.111:2209/135/hk.php?id=lxsdt#http://iptv.weai.love/live?ispa=full&type=gdjy&ipdz=120.84.96.i&tvid=lxsd#http://107.151.203.111:2209/135/hk.php?id=lxsdt#http://iptv.weai.love/live?ispa=full&type=gdjy&ipdz=120.84.96.i&tvid=lxsd
鳳凰電影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
天映經典,http://107.151.203.111:2209/135/hk.php?id=ccmt#http://107.151.203.111:2209/135/hk.php?id=ccmt
金馬影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
PANDA影院,http://182.151.211.171:808/hls/127/index.m3u8
女神經典影院,https://pull.kktv8.com/livekktv/99350550/playlist.m3u8#http://hpull.kktv8.com/livekktv/99350550/playlist.m3u8#https://pull.kktv8.com/livekktv/99350550.flv#http://hpull.kktv8.com/livekktv/99350550/playlist.m3u8#https://pull.kktv8.com/livekktv/99350550.flv
午夜影院,https://pull.kktv8.com/livekktv/99592190.flv
印度電影,http://23.237.10.66:16054
每日影院,http://182.151.211.171:808/hls/128/index.m3u8
明星大片,http://39.135.138.59:18890/PLTV/88888910/224/3221225716/index.m3u8
東北熱劇,http://39.134.115.163:8080/PLTV/88888910/224/3221226202/index.m3u8
長城精品,http://38.64.72.148:80/hls/modn/list/4008/chunklist0.m3u8
峨嵋電影,http://182.151.211.171:808/hls/58/index.m3u8#http://vl15191373.imwork.net:8880/udp/239.93.0.252:5140#http://vl15191373.imwork.net:8880/udp/239.93.0.252:5140
峨嵋電影4K,http://112.19.214.90:8883/tsfile/live/1004_1.m3u8
電影輪播,http://hpull.kktv8.com/livekktv/99592190/playlist.m3u8
芒果樂搜,http://124.232.233.17:6610/000000001001/201600020010/1400.m3u8?IASHttpSessionId=SLB2046220190906022827233263&m3u8_level=2
NewTV超級電影,http://39.134.115.163:8080/PLTV/88888910/224/3221225623/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225623/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225766/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225623/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225623/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225766/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225623/index.m3u8
NewTV精品電影,http://39.135.138.60:18890/PLTV/88888910/224/3221225718/index.m3u8
黑莓電影,http://39.135.138.58:18890/PLTV/88888888/224/3221225718/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225718/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225769/index.m3u8#http://39.134.116.30:8080/PLTV/88888910/224/3221225769/index.m3u8#http://39.134.116.30:8080/PLTV/88888910/224/3221225764/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225718/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225764/index.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225764/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225769/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225718/index.m3u8#http://39.134.116.30:8080/PLTV/88888910/224/3221225718/index.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225769/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225769/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225718/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225764/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225769/index.m3u8#http://117.169.124.149:8080/live/jdianying/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225718/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225769/index.m3u8#http://39.134.116.30:8080/PLTV/88888910/224/3221225769/index.m3u8#http://39.134.116.30:8080/PLTV/88888910/224/3221225764/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225718/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225764/index.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225764/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225769/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225718/index.m3u8#http://39.134.116.30:8080/PLTV/88888910/224/3221225718/index.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225769/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225769/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225718/index.m3u8

彎彎230219,#genre#
寰宇新聞,https://ytm2.yuanhsing.cf/GlobalNewsTV.m3u8#https://ytm2.yuanhsing.cf/GlobalNewsTV.m3u8
寰宇新聞,http://tvmvip110.club/live.php?id=hyxw
壹新聞 HD,http://60.251.59.180:8501/.m3u8#http://60.251.59.180:8501/http/60.251.39.91:8081/hls/66/808/ch24.m3u8#http://60.251.59.180:8501/http/60.251.39.91:8081/hls/66/808/ch24.m3u8
鏡新聞Mnews,https://ytm2.yuanhsing.cf/mnews.m3u8#https://ytm2.yuanhsing.cf/mnews.m3u8
鏡新聞Mnews,http://tvmvip110.club/live.php?id=jxw
東森新聞,http://tvmvip110.club/live.php?id=dsxw
三立NEWS+,https://ytm2.yuanhsing.cf/SETLIVE.m3u8
三立iNEWS,https://ytm2.yuanhsing.cf/setmoney159.m3u8
三立新聞 LIVE,http://60.251.59.180:8506/ch18.m3u8#http://60.251.59.180:8506/http/60.251.39.91:8081/hls/65/807/ch18.m3u8
三立新聞,http://60.251.59.180:8506/http/60.251.39.91:8081/hls/65/807/ch18.m3u8#http://60.251.59.180:8506/http/60.251.39.91:8081/hls/65/807/ch18.m3u8#http://60.251.59.180:8506/http/60.251.39.91:8081/hls/65/807/ch18.m3u8
TVBS,http://tvmvip110.club/live.php?id=tvbs
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8 #http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8 #http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8 
TVBS新聞,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8 
TVBS新聞,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
中視新聞,http://tvmvip110.club/live.php?id=zszy
中天新聞,http://tvmvip110.club/live.php?id=ztxw
中視,http://tvmvip110.club/live.php?id=zs
民視新聞,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8 #http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8 #http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8 
民視新聞,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民視新聞,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民視新聞,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
民視新聞,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
台視新聞,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台視新聞,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
台視新聞,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
華視新聞,http://stream.dsichannel.com/hls/cts-news.m3u8
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
東森美洲衛視,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
華語電視,http://38.64.72.148:80/hls/modn/list/4001/chunklist0.m3u8
華語電視2,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
華語電視3,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
東森美洲衛視,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
靖洋戲劇,http://www.336699.live:1935/blockfour/4gtv-4gtv045.stream/playlist.m3u8
靖天歡樂,http://www.336699.live:1935/blockfour/4gtv-4gtv054.stream/playlist.m3u8
靖天卡通,http://www.336699.live:1935/blockfour/4gtv-4gtv044.stream/playlist.m3u8
靖天歡樂,http://www.336699.live:1935/blockfour/4gtv-4gtv054.stream/playlist.m3u8
靖天映畫,http://www.336699.live:1935/blockfour/4gtv-4gtv055.stream/playlist.m3u8
靖天戲劇,http://www.336699.live:1935/blockfour/4gtv-4gtv058.stream/playlist.m3u8
中視菁采,http://www.336699.live:1935/blockfour/4gtv-4gtv064.stream/playlist.m3u8
靖天國際,http://www.336699.live:1935/blockfour/4gtv-4gtv063.stream/playlist.m3u8
靖天育樂,http://www.336699.live:1935/blockfour/4gtv-4gtv062.stream/playlist.m3u8
ELTA娛樂,http://www.336699.live:1935/blockfour/4gtv-4gtv070.stream/playlist.m3u8
藍色水玲瓏,http://tvmvip110.club/live.php?id=xyqt
豬哥會社,http://tvmvip110.club/live.php?id=zyzg
長城精品,http://38.64.72.148:80/hls/modn/list/4008/chunklist0.m3u8
蕃薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
金馬影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
TVBS亞洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
東森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist1.m3u8
蕃薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
華語電視,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
HBO,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
翡翠台,http://23.237.10.66:16106#http://23.237.10.66:16106
大愛一,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛二,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
蕃薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
天映經典http://120.84.96.74:808/hls/85/index.m3u8
大立電視,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
耀才stock,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
原住民頻道,http://streamipcf.akamaized.net/live/_definst_/live_720/chunklist_b1500.m3u8
智林體育台,http://www.336699.live:1935/blockfour/4gtv-4gtv101.stream/playlist.m3u8
TRACE,http://www.336699.live:1935/blockfour/4gtv-4gtv077.stream/playlist.m3u8
HITS,http://www.336699.live:1935/blockfour/4gtv-4gtv082.stream/playlist.m3u8
GinX,http://www.336699.live:1935/blockfour/4gtv-4gtv053.stream/playlist.m3u8
Arirang Korea,http://www.336699.live:1935/blockfour/4gtv-4gtv079.stream/playlist.m3u8
MEZZO,http://www.336699.live:1935/blockfour/4gtv-4gtv083.stream/playlist.m3u8
采倉,http://www.336699.live:1935/blockfour/4gtv-4gtv049.stream/playlist.m3u8

有效源230220,#genre#
寰宇新聞,https://ytm2.yuanhsing.cf/GlobalNewsTV.m3u8#https://ytm2.yuanhsing.cf/GlobalNewsTV.m3u8
寰宇新聞,http://tvmvip110.club/live.php?id=hyxw
壹新聞 HD,http://60.251.59.180:8501/.m3u8#http://60.251.59.180:8501/http/60.251.39.91:8081/hls/66/808/ch24.m3u8#http://60.251.59.180:8501/http/60.251.39.91:8081/hls/66/808/ch24.m3u8
鏡新聞Mnews,https://ytm2.yuanhsing.cf/mnews.m3u8#https://ytm2.yuanhsing.cf/mnews.m3u8
鏡新聞Mnews,http://tvmvip110.club/live.php?id=jxw
東森新聞,http://tvmvip110.club/live.php?id=dsxw
纬来体育,http://123.51.230.108:18509/.m3u8
东森财经新闻,http://123.51.230.108:18515/.m3u8
东森超视34.5,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
三立财经新闻,http://2022.stream-link.org/playlist/set_inews
三立新闻,http://2022.stream-link.org/playlist/set_news
三立新闻+,http://2022.stream-link.org/playlist/set_news+
东森电视新闻,http://2022.stream-link.org/playlist/ebc_finance
东森新闻,http://2022.stream-link.org/playlist/ebc_news
中天新闻,http://2022.stream-link.org/playlist/cti_news
TVBS,http://2022.stream-link.org/playlist/tvbs
TVBS新闻,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8#http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4006/playlist.m3u8#http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4006/playlist.m3u8#http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8#http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
华视新闻资讯 HD,http://stream.dsichannel.com:80/hls/cts-news.m3u8#http://stream.dsichannel.com/hls/cts-news.m3u8#http://stream.dsichannel.com/hls/cts-news.m3u8
台视 HD,http://107.151.203.111:2209/135/us50.php?id=tsk#http://23.237.10.66:16344#http://23.237.10.66:16344
台视新闻 HD,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8#http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4013/playlist.m3u8#http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8#http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
台视新闻,http://2022.stream-link.org/playlist/ttv_news
华视,http://2022.stream-link.org/playlist/cts_zy
华视(2023台中新站跨年演唱会),http://2022.stream-link.org/playlist/cts_2023
华视新闻,http://2022.stream-link.org/playlist/cts_news
民视新闻,http://123.51.230.108:18663/.m3u8
