酷貓0818,#genre#
緯來育樂,rtmp://59.124.75.138:1935/sat/tv701#rtmp://59.124.75.150/sat/tv701#rtmp://59.124.75.138/sat/tv701#rtmp://59.124.75.138:1935/sat/tv701#rtmp://59.124.75.150/sat/tv701#rtmp://59.124.75.138/sat/tv701#rtmp://59.124.75.138:1935/sat/tv701#rtmp://59.124.75.150/sat/tv701#rtmp://59.124.75.138/sat/tv701#rtmp://59.124.75.138:1935/sat/tv701#http://61.219.170.95:18541/.m3u8#http://59.125.122.90:18541/.m3u8#http://60.251.33.252:18541/.m3u8#http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch30.m3u8#http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch12.m3u8#http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch11.m3u8#http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch10.m3u8#http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch09.m3u8#http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch08.m3u8#http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch07.m3u8#http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch06.m3u8#http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch05.m3u8#http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch04.m3u8#http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch03.m3u8#http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch02.m3u8#http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch01.m3u8#http://59.125.122.90:18541/http/192.168.1.9:8078/hls/24/80/ch04.m3u8#http://59.125.122.90:18541/http/192.168.1.9:8066/hls/210/10010/ch00.m3u8#http://59.125.122.90:18541/http/192.168.1.9:8081/hls/68/810/ch01.m3u8#http://59.125.122.90:18541/http/192.168.1.9:8081/hls/76/818/ch08.m3u8
緯來體育,rtmp://59.124.75.138:1935/sat/tv721#rtmp://59.124.75.138/sat/tv721#rtmp://59.124.75.150/sat/tv721#rtmp://59.124.75.138:1935/sat/tv721#rtmp://59.124.75.150/sat/tv721#rtmp://59.124.75.138/sat/tv721#rtmp://59.124.75.138:1935/sat/tv721#rtmp://59.124.75.138/sat/tv721#rtmp://59.124.75.150/sat/tv721#rtmp://59.124.75.138:1935/sat/tv721#http://60.251.33.252:18509/.m3u8
緯來日本,rtmp://59.124.75.138:1935/sat/tv771#rtmp://59.124.75.138/sat/tv771#rtmp://59.124.75.150/sat/tv771#rtmp://59.124.75.138:1935/sat/tv771#rtmp://59.124.75.138/sat/tv771#rtmp://59.124.75.150/sat/tv771#rtmp://59.124.75.138:1935/sat/tv771#rtmp://59.124.75.138/sat/tv771#rtmp://59.124.75.150/sat/tv771#rtmp://59.124.75.138:1935/sat/tv771
東森財經,rtmp://59.124.75.138:1935/sat/tv571#rtmp://59.124.75.138/sat/tv571#rtmp://59.124.75.138:1935/sat/tv571#rtmp://59.124.75.138:1935/sat/tv571#rtmp://59.124.75.138/sat/tv571#rtmp://59.124.75.138:1935/sat/tv571
東森超視,rtmp://59.124.75.138:1935/sat/tv331#rtmp://59.124.75.138:1935/sat/tv331#rtmp://59.124.75.138:1935/sat/tv331#rtmp://59.124.75.138:1935/sat/tv331#http://61.219.170.95:18555/.m3u8#http://59.125.122.90:18555/.m3u8
陌陌綜合,rtmp://59.124.75.138:1935/sat/tv761#rtmp://59.124.75.138:1935/sat/tv761#rtmp://59.124.75.138:1935/sat/tv761#rtmp://59.124.75.138:1935/sat/tv761
ELEVEN1,rtmp://59.124.75.138:1935/sat/tv731#rtmp://59.124.75.138:1935/sat/tv731#rtmp://59.124.75.138/sat/tv731#rtmp://59.124.75.150/sat/tv731#rtmp://59.124.75.138:1935/sat/tv731#rtmp://59.124.75.138:1935/sat/tv731
ELEVEN2,rtmp://59.124.75.138:1935/sat/tv741#rtmp://59.124.75.138/sat/tv741#rtmp://59.124.75.138/sat/md051#rtmp://59.124.75.150/sat/tv741#rtmp://59.124.75.138:1935/sat/tv741#rtmp://59.124.75.138/sat/tv741#rtmp://59.124.75.138/sat/md051#rtmp://59.124.75.150/sat/tv741#rtmp://59.124.75.138:1935/sat/tv741#rtmp://59.124.75.138/sat/tv741#rtmp://59.124.75.138/sat/md051#rtmp://59.124.75.150/sat/tv741#rtmp://59.124.75.138:1935/sat/tv741
ELTA體育1,rtmp://59.124.75.138/sat/md011#rtmp://59.124.75.138/sat/md011
ELTA體育2,rtmp://59.124.75.138/sat/md021#rtmp://59.124.75.138/sat/md021
ELTA體育3,rtmp://59.124.75.138/sat/md041#rtmp://59.124.75.138/sat/md041#rtmp://59.124.75.138/sat/md041
MOMO綜合,rtmp://59.124.75.138:1935/sat/tv761#rtmp://59.124.75.138/sat/tv761#rtmp://59.124.75.150/sat/tv761#rtmp://59.124.75.138:1935/sat/tv761#rtmp://59.124.75.138/sat/tv761#rtmp://59.124.75.150/sat/tv761#http://61.219.170.95:18576/.m3u8#http://59.125.122.90:18576/.m3u8
博斯網球,rtmp://59.124.75.150/sat/md031#rtmp://59.124.75.138/sat/md031#rtmp://59.124.75.150/sat/md031#rtmp://59.124.75.138/sat/md031
博斯運動2,rtmp://59.124.75.138:1935/sat/md021#rtmp://59.124.75.138:1935/sat/md021
緯來戲劇,http://61.219.170.95:18557/http/192.168.1.9:8081/hls/69/811/ch33.m3u8#http://61.219.170.95:18557/http/192.168.1.9:8081/hls/69/811/ch33.m3u8
凰衛視資訊,http://61.219.170.95:18565/http/192.168.1.9:8078/hls/20/80/phoenixif.m3u8#http://61.219.170.95:18565/http/192.168.1.9:8078/hls/20/80/phoenixif.m3u8
momo 綜合台,http://61.219.170.95:18576/http/192.168.1.9:8081/hls/76/818/momo_max.m3u8#http://61.219.170.95:18576/http/192.168.1.9:8081/hls/76/818/momo_max.m3u8
龍華日韓劇,http://61.219.170.95:18508/http/192.168.1.9:8088/hls/15/80/foxsports2.m3u8
龍華日韓劇,http://61.219.170.95:18508/http/192.168.1.9:8088/hls/15/80/foxsports2.m3u8#http://61.219.170.95:18508/http/192.168.1.9:8088/hls/15/80/foxsports2.m3u8
龍華偶像劇,http://61.219.170.95:18573/http/192.168.1.9:8066/hls/210/10012/cstv12.m3u8
龍華偶像劇,http://61.219.170.95:18573/http/192.168.1.9:8066/hls/210/10012/cstv12.m3u8#http://61.219.170.95:18573/http/192.168.1.9:8066/hls/210/10012/cstv12.m3u8
龍華電影台,http://61.219.170.95:18574/http/192.168.1.9:8066/hls/210/10014/cstv14.m3u8
八大第一FHD,http://61.219.170.95:18539/http/192.168.1.9:8081/hls/66/808/ch22.m3u8#http://61.219.170.95:18539/http/192.168.1.9:8081/hls/66/808/ch22.m3u8
Star World,http://61.219.170.95:18504/http/192.168.1.9:8081/hls/61/803/ch02.m3u8#http://61.219.170.95:18504/http/192.168.1.9:8081/hls/61/803/ch02.m3u8#http://61.219.170.95:18504/.m3u8#http://59.125.122.90:18504/.m3u8#http://60.251.33.252:18504/.m3u8
鳳凰衛視中文,http://61.219.170.95:18566/http/192.168.1.9:8078/hls/21/80/phoenixch.m3u8#http://61.219.170.95:18566/http/192.168.1.9:8078/hls/21/80/phoenixch.m3u8
衛視電影FHD,http://61.219.170.95:18529/http/192.168.1.9:8081/hls/62/804/ch07.m3u8#http://61.219.170.95:18529/http/192.168.1.9:8081/hls/62/804/ch07.m3u8
台視FHD,http://61.219.170.95:18543/http/192.168.1.9:8081/hls/72/814/ch46.m3u8#http://61.219.170.95:18543/http/192.168.1.9:8081/hls/72/814/ch46.m3u8
衛視中文FHD,http://61.219.170.95:18522/http/192.168.1.9:8081/hls/62/804/ch05.m3u8#http://61.219.170.95:18522/http/192.168.1.9:8081/hls/62/804/ch05.m3u8
ANIMAX 卡通動畫頻道,http://61.219.170.95:18550/http/192.168.1.9:8081/hls/70/812/ch39.m3u8#http://61.219.170.95:18550/http/192.168.1.9:8081/hls/70/812/ch39.m3u8
AXN,http://61.219.170.95:18548/http/192.168.1.9:8081/hls/71/813/ch43.m3u8#http://61.219.170.95:18548/http/192.168.1.9:8081/hls/71/813/ch43.m3u8#http://61.219.170.95:18548/.m3u8#http://59.125.122.90:18548/.m3u8
龍華電影台,http://61.219.170.95:18574/http/192.168.1.9:8066/hls/210/10014/cstv14.m3u8#http://61.219.170.95:18574/http/192.168.1.9:8066/hls/210/10014/cstv14.m3u8
緯來育樂FHD,http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch30.m3u8#http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch30.m3u8
華語電視,http://38.64.72.148:80/hls/modn/list/4001/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4001/chunklist0.m3u8
華語電視3,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
華語電視2,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
唯心電視,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
唯心,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/playlist.m3u8
大立電視,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
蕃薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8#http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8#http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
唯心電視,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
華藏衛視,http://118.163.88.61:1935/hwazanlivetv/live.stream/playlist.m3u8
大愛1,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛2,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
好消息電視台1,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8
好消息電視台2,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8
探索,http://111.11.123.49:6610/000000001000/5359008697329269813/1.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT1218020220429145628240518&channel-id=wasusyt&Contentid=5359008697329269813
原住民族,http://streamipcf.akamaized.net/live/_definst_/live_720/chunklist_b1500.m3u8
華語電視,http://38.64.72.148:80/hls/modn/list/4001/chunklist0.m3u8
華語電視3,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
東森美洲,http://38.64.72.148:80/hls/modn/list/2026/chunklist0.m3u8
東森美洲衛視,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
長城精品,http://38.64.72.148:80/hls/modn/list/4008/chunklist0.m3u8
AXN,http://61.219.170.95:18548/http/192.168.1.9:8081/hls/71/813/ch43.m3u8
緯來日本,rtmp://59.124.75.138/sat/tv771#rtmp://59.124.75.150/sat/tv771#rtmp://59.124.75.138:1935/sat/tv771#rtmp://59.124.75.138/sat/tv771#rtmp://59.124.75.150/sat/tv771#rtmp://59.124.75.138:1935/sat/tv771
緯來育樂,rtmp://59.124.75.150/sat/tv701#rtmp://59.124.75.138/sat/tv701#rtmp://59.124.75.150/sat/tv701#rtmp://59.124.75.138/sat/tv701#rtmp://59.124.75.138:1935/sat/tv701
台視,rtmp://59.124.75.138/sat/tv071#rtmp://59.124.75.150/sat/tv071#rtmp://59.124.75.138:1935/sat/tv071#rtmp://59.124.75.150/sat/tv071#rtmp://59.124.75.138/sat/tv071#rtmp://59.124.75.138:1935/sat/tv071
東森超視,rtmp://59.124.75.138:1935/sat/tv331#rtmp://59.124.75.138:1935/sat/tv331
龍華偶像,http://61.219.170.95:18573/.m3u8#http://59.125.122.90:18573/.m3u8
龍華日韓,http://61.219.170.95:18508/.m3u8#http://59.125.122.90:18508/.m3u8#http://60.251.33.252:18551/.m3u8#http://61.219.170.95:18508/http/192.168.1.9:8088/hls/15/80/foxsports2.m3u8
TVBS歡樂,rtmp://59.124.75.138/sat/tv421#rtmp://59.124.75.150/sat/tv421#rtmp://59.124.75.138:1935/sat/tv421#rtmp://59.124.75.138/sat/tv421#rtmp://59.124.75.150/sat/tv421#rtmp://59.124.75.138:1935/sat/tv421
東森財經新聞,rtmp://59.124.75.138/sat/tv571#rtmp://59.124.75.150/sat/tv571#rtmp://59.124.75.150/sat/tv571
緯來體育,rtmp://59.124.75.150/sat/tv721#rtmp://59.124.75.138/sat/tv721#rtmp://59.124.75.138:1935/sat/tv721#rtmp://59.124.75.138/sat/tv721#rtmp://59.124.75.150/sat/tv721#rtmp://59.124.75.138:1935/sat/tv721
ELEVEN1,rtmp://59.124.75.138/sat/tv731#rtmp://59.124.75.150/sat/tv731#rtmp://59.124.75.138:1935/sat/tv731#rtmp://59.124.75.138:1935/sat/tv731
ELEVEN2,rtmp://59.124.75.138/sat/tv741#rtmp://59.124.75.138/sat/md051#rtmp://59.124.75.150/sat/tv741#rtmp://59.124.75.138:1935/sat/tv741#rtmp://59.124.75.138/sat/tv741#rtmp://59.124.75.138/sat/md051#rtmp://59.124.75.150/sat/tv741#rtmp://59.124.75.138:1935/sat/tv741
ELTA體育3,rtmp://59.124.75.138/sat/md041#rtmp://59.124.75.138/sat/md041
星衛電影,http://50.7.220.74:8278/xingwei_movie/playlist.m3u8?tid=ME6E2875344228753442&ct=18392&tsum=c21fc395d9e540e48d429400b2fb0b05
鳳凰電影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
東森財經,rtmp://59.124.75.138:1935/sat/tv571#rtmp://59.124.75.138/sat/tv571#rtmp://59.124.75.138:1935/sat/tv571
陌陌綜合,rtmp://59.124.75.138:1935/sat/tv761#rtmp://59.124.75.138:1935/sat/tv761
ELTA體育1,rtmp://59.124.75.138/sat/md011
ELTA體育2,rtmp://59.124.75.138/sat/md021
MOMO綜合,rtmp://59.124.75.138:1935/sat/tv761#rtmp://59.124.75.138/sat/tv761#rtmp://59.124.75.150/sat/tv761
博斯網球,rtmp://59.124.75.150/sat/md031#rtmp://59.124.75.138/sat/md031
博斯運動2,rtmp://59.124.75.138:1935/sat/md021
蓮花衛視,http://nettvpro.live/hls/lotustv.php
緯來戲劇,http://61.219.170.95:18557/http/192.168.1.9:8081/hls/69/811/ch33.m3u8
凰衛視資訊,http://61.219.170.95:18565/http/192.168.1.9:8078/hls/20/80/phoenixif.m3u8
momo 綜合台,http://61.219.170.95:18576/http/192.168.1.9:8081/hls/76/818/momo_max.m3u8
八大第一FHD,http://61.219.170.95:18539/http/192.168.1.9:8081/hls/66/808/ch22.m3u8
Star World,http://61.219.170.95:18504/http/192.168.1.9:8081/hls/61/803/ch02.m3u8
鳳凰衛視中文,http://61.219.170.95:18566/http/192.168.1.9:8078/hls/21/80/phoenixch.m3u8
衛視電影FHD,http://61.219.170.95:18529/http/192.168.1.9:8081/hls/62/804/ch07.m3u8
台視FHD,http://61.219.170.95:18543/http/192.168.1.9:8081/hls/72/814/ch46.m3u8
衛視中文FHD,http://61.219.170.95:18522/http/192.168.1.9:8081/hls/62/804/ch05.m3u8
ANIMAX 卡通動畫頻道,http://61.219.170.95:18550/http/192.168.1.9:8081/hls/70/812/ch39.m3u8
緯來育樂FHD,http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch30.m3u8
GoodTV 真情部落,https://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch3-2.m3u8
GoodTV 經典音樂,https://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch6-2.m3u8
GOODTV復興禱告,https://dqhxk7sbp7xog.cloudfront.net/osmflivech38.m3u8
GoodTV愛旅行,https://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch11-2.m3u8
GOODTV卡通,https://dqhxk7sbp7xog.cloudfront.net/osmflivech45.m3u8
GOODTV空中聖經學院,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch27-2.m3u8
GOODTV經典音樂河,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch6-2.m3u8
好消息綜合,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch1-2.m3u8#https://dqhxk7sbp7xog.cloudfront.net/osmflivech1.m3u8#http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8#https://dqhxk7sbp7xog.cloudfront.net/osmflivech1.m3u8#http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8
好消息真理,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch2-2.m3u8#http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8#http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8
真情部落格,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch3-2.m3u8#https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch14-2.m3u8#https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch14-2.m3u8
共享觀點,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch5-2.m3u8
慕主音樂,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch6-2.m3u8
迎接愎興,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch7-2.m3u8
愛+好醫生,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch9-2.m3u8
我們旅行,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch11-2.m3u8
孫叔唱副歌,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch12-2.m3u8
真情之夜,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch15-2.m3u8
葉光明牧師,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch16-2.m3u8
大衛鮑森,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch17-2.m3u8
國際講員,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch18-2.m3u8
恩典時分,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch20-2.m3u8
華語講員,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch21-2.m3u8
劉三講古,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch24-2.m3u8
空中聖經學院,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch27-2.m3u8
詩歌精選,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch28-2.m3u8
經典音樂河,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch29-2.m3u8
敬拜讚美音樂,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch30-2.m3u8
福音布道音樂,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch31-2.m3u8
禱告與轉化,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch32-2.m3u8
研經培靈,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch33-2.m3u8
天父的心,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch35-2.m3u8
末世信息,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch38-2.m3u8
台中好聖誕,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch39-2.m3u8
轉轉發現,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch40-2.m3u8
愛+好醫生1,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch42-2.m3u8
幸福來敲門,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch43-2.m3u8
新約妙妙妙,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch45-2.m3u8#https://dqhxk7sbp7xog.cloudfront.net/osmflivech45.m3u8#https://dqhxk7sbp7xog.cloudfront.net/osmflivech45.m3u8
牧者頻道,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch47-2.m3u8
好消息綜合1,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch49-2.m3u8
好消息綜合2,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch50-2.m3u8
好時光,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch51-2.m3u8


酷貓61,#genre#
寰宇新聞,http://61.219.170.95:18569/.m3u8#http://59.125.122.90:18569/.m3u8
東森新聞,http://61.219.170.95:18512/.m3u8#http://59.125.122.90:18512/.m3u8
